time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-23 22:42:23.458 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,10487525376,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1582497742727, , , , ,3145728,1218, , , , ,4, ,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,34078720,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-23 22:42:37.037 UTC, ,125,3160893,1080,15040, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,10487525376,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1582497742727, , , , ,3145728,1334, , , , ,1, ,1,2,1, , ,3,1, , , , , , , , , , , ,4096,2,95,1, , , , , , ,1,6,13035032,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 02:32:59.919 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10503401472,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583289179435, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , ,1,4,14610216,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 02:33:06.214 UTC, ,125,3160141,1080,14288, , ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10503401472,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583289179435, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,15292080,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:21:41.753 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10441703424,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583356901246, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , ,1,4,13576296,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:22:41.755 UTC, ,125,3160253,1080,14288,112, ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10441424896,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583356901246, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,14905824,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:27:11.629 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10438705152,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583357231215, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , ,1,4,14931384,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:28:11.631 UTC, ,125,3160253,1080,14288,112, ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10438438912,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583357231215, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,16255624,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:29:11.634 UTC, ,125,3160253,1080,14288,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10437984256,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583357231215, , , , ,3145728,2098, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17280040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-03-04 21:30:11.638 UTC, ,125,3160253,1080,14288,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,10438131712,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1583357231215, , , , ,3145728,2098, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17280072,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
